Episode,Title,Subtitle,Release Date,Type,Genre,Status,Greg Grade,Brian Grade,Joshua Grade,Guest Name,Guest Grade,Spotify URL,Thumbnail URL
1,Top Gun Maverick,Highway to the danger zone,2023-10-01,Movie,Action,Published,A,B+,C-,,,
2,Tom Petty: Full Moon Fever,Waterboarding ourselves with dry oatmeal,2023-10-10,Music Album,Music,Published,A-,B-,B-,,,
3,The Warriors,"Last stop, Coney Island",2023-10-17,Movie,Action,Published,C+,A-,A,,,
4,ITYSL s1,"The Thanks Is All Mine, Parson.",2023-10-24,TV Show,Comedy,Published,A,A+,A+,,,
5,Dune (1984),Piss-suit Warriors on a Cocaine Planet,2023-10-31,Movie,Sci-Fi,Published,D,D,F,,,
6,Life of Brian,What Have the Romans Ever Done For Us?,2023-11-07,Movie,Comedy,Published,A,B+,A,,,
7,Do The Right Thing,The Oracle of Bed-Stuy,2023-11-21,Movie,Drama,Published,A+,A,A+,,,
8,The Incredible Mr. Limpet,The Fish Who Yelled at Nazis,2023-11-28,Movie,Comedy,Published,D-,D,D+,,,
9,Stop Making Sense,"The Greatest Concert Film Ever Made (For Real, Though?)",2023-12-05,Documentary,Music,Published,B+,A,A-,,,
10,Scott Pilgrim vs The World,... Her?,2023-12-12,Movie,Comedy,Published,C+,C,B+,,,
11,Scrooged,"They're Gonna' Burn Me?!",2023-12-19,Movie,Comedy,Published,C,C,B,,,
12.1,End of Year Record Potluck,Casserole & Critiques - Side A,2023-12-26,Special,,Published,,,,,,
12.2,End of Year Record Potluck,Casserole & Critiques - Side B,2023-12-27,Special,,Published,,,,,,
13,Alice In Chains - Dirt,The Nightmare Of The 90s Is Alive In Seattle,2024-01-02,Music Album,Music,Published,,,,,,
14,Barbie,Real Men Cry on Planes,2024-01-09,Movie,Comedy,Published,A-,B+,B+,,,
15,They Live!,Have a Confusing Day!,2024-01-16,Movie,Sci-Fi,Published,B,B+,A-,,,
16,Brazil,"It's SO ""Orwellian.""",2024-01-23,Movie,Sci-Fi,Published,A+,B+,A+,,,
17,Godzilla Minus One,"WE'RE SCREWED!!!",2024-01-30,Movie,Action,Published,A-,A-,B,,,
18,The Impossibles - Anthology,A Valentine for The Impossibles,2024-02-06,Music Album,Music,Published,,,,,,
19,Starship Troopers,We're All Doing Our Parts!,2024-02-13,Movie,Sci-Fi,Published,C,C-,C-,,,
20,Weezer - OK Human,OK Spreadsheet,2024-02-20,Music Album,Music,Published,B,C-,B-,Raman,,
21,Children of Men,"NOT the Sequel to ""Junior""",2024-03-05,Movie,Sci-Fi,Published,A-,B+,A-,,,
22,Bee Movie,Mister Bee Goes to Washington...and Destroys the World,2024-03-12,Movie,Comedy,Published,D-,D,F,,,
23,Tenet,?ezeeuqS eht htroW eciuJ,2024-03-26,Movie,Sci-Fi,Published,A-,A-,B-,,,
24,Dune (Parts 1 & 2),(Almost) As Written!,2024-04-02,Movie,Sci-Fi,Published,A,A,A+,,,
24.1,Dune (Parts 1 & 2),B-Side Bonus Episode!,2024-04-05,Movie,Action,Published,A,A-,A+,,,
25,To Live and Die In LA,"Briefs, Boobs, Butts, and Bills",2024-04-09,Movie,Thriller,Published,A-,A,B,,,
26,Grant Lee Buffalo - Mighty Joe Moon,Happiness Is Hard To Come By,2024-04-16,Music Album,Music,Published,,,,,,
27,Peanut Butter Solution,Please Skip(py) This Movie,2024-04-23,Movie,Comedy,Published,F,D,F,,,
28,Titus Andronicus - The Monitor,"The Enemy is Everywhere",2024-04-30,Music Album,Music,Published,,,,,,
29,Junior,"Man Gets Pregnant, Has Baby, WTF?!",2024-05-07,Movie,Comedy,Published,D,D+,D-,,,
30,Boogie Nights,You Got the Touch!,2024-05-21,Movie,Drama,Published,A-,A,A,,,
31,Twister,Tornados Only Suck Up Dads And Doors,2024-05-28,Movie,Action,Published,C,B,B-,Tim,,
32,Super Troopers,Shoot Me In the D*ck!,2024-06-11,Movie,Comedy,Published,D+,C-,C,,,
33,The Wolf of Wall Street,"Smoke Crack With Me, Bro!",2024-06-18,Movie,Drama,Published,A-,A-,C+,,,
34,Taylor Swift - Miss Americana,The Taylor Swift Episode: (Greg's Version),2024-06-25,Documentary,Music,Published,B+,C+,C+,,,
35,Escape from New York,We're Back! ... in New York,2024-09-22,Movie,Action,Published,C-,B,C,,,
36,The Thermals - Fuckin' A & The Body The Blood The Machine,,2024-09-24,Music Album,Music,Published,,,,,,
37,Bull Durham,"The Rose Goes in the Front, Big Guy",2024-10-01,Movie,Comedy,Published,A+,A,B+,,,
38,American Fiction,Johnny Walker Blues,2024-10-08,Movie,Comedy,Published,A,B+,B+,,,
39,Desert Island Picks,A Playlist for Killing Sharks,2024-10-15,Special,,Published,,,,,,
40,UHF,A Podcast Divided Cannot Find The Marble In The Oatmeal,2024-10-22,Movie,Comedy,Published,C-,C,B+,,,
41,Shaun of the Dead,Where Were You When Second Wave Zombie Fever Struck?,2024-10-29,Movie,Comedy,Published,A-,B+,A,,,
42,E.T.,A Search for Weed Goes Terribly Wrong,2024-11-05,Movie,Sci-Fi,Published,A-,B+,A-,Ryan,,
43,Johnny Dangerously,His Name is an Adverb!,2024-11-12,Movie,Comedy,Published,B-,D,C+,,,
44,Raising Arizona,"Dreams, Hayseeds, And Bad Parenting in Reagan's America",2024-11-19,Movie,Comedy,Published,B+,B,A+,,,
45,I Am Trying To Break Your Heart,"With A Chicago Style Side Of ""Where Are You, Jay Bennett?""",2024-11-26,Documentary,Music,Published,B-,B,C+,,,
46,The Boondock Saints,To Poke A Caveman In The Amygdala,2024-12-03,Movie,Action,Published,F,D,F,,,
47,Midnight Run,Brest is Best at Build-A-Bear,2024-12-10,Movie,Comedy,Published,B+,B,B+,,,
48,Tron,A Cinematic Cracked Glowstick,2024-12-17,Movie,Sci-Fi,Published,C,B-,B,,,
49,Trading Places,"If There's Anything Worse Than A Billionaire, It's A Billionaire-Sociologist",2024-12-24,Movie,Comedy,Published,A,A,B+,,,
50,End-of-the-Year Re-Grades,,2024-12-31,Special,,Published,,,,,,
51,Thelma & Louise,Outlaws on the Other Side of the Fish Tank,2025-02-04,Movie,Drama,Published,A-,B+,B+,,,
52,The Outsiders,A Clockwork Oklahoma,2025-04-11,Movie,Drama,Published,,,,,,
53,Baron Munchausen,"It's Just A Sweet, Sweet Fantasy, Baby.",2025-04-22,Movie,Fantasy,Published,,,,,,
54,Indiana Jones & Dial of Destiny,The Only Thing Worse Than Nazis Are American Nazis,2025-04-29,Movie,Adventure,Published,,,,Tim,,
55,Real Genius,The Government Gets Its Come-POP-ance,2025-06-11,Movie,Comedy,Published,,,,,,
56,In The Line of Fire,Fleeing John Malkovich,,Movie,Thriller,Published,,,,,,
57,Whiplash,Full Metal Drumkit,,Movie,Drama,Published,B+,A-,A-,,,
58,Friendship,,,Movie,Comedy,Published,,,,,,
59,Steely Dan - Aja,,,Music Album,Music,Published,,A-,F,,,
